Row,Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central,Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status,Base £/sqm,P25 £/sqm,Median £/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment
50,"9 The Maltings, Romford",RM1 2AW,Romford,Flat,Private Commuter Flat,Private commuter flat,,255000,268000,282000,ADDR_FAIL,,0.9,0.97,0.86,-14%,ADDR_FAIL,4018,3901,4293,5.0%,0%,8.0%,3.0%,65,0.18,FALSE,1,"Address not found: Could not match house number ""9 the maltings"" to any address at RM1 2AW"
51,"4 Rushdon Close, Romford",RM1 2RE,Romford,Flat,Private Commuter Flat,Private commuter flat,,139000,154000,170000,DESK_REV,,0.9,0.97,0.83,-17%,DESK,4550,4500,4667,,3.0%,2.5%,1.5%,60,0.23,FALSE,,Prior flag: No comparable sales data found for this postcode
52,"72 Monkwood Close, Romford",RM1 2NQ,Romford,Flat,Private Commuter Flat,Private commuter flat,,246000,259000,272000,277245,271284,0.9,0.97,1.05,5%,CHECK,4515,4502,4545,,,1.5%,,70,0.02,FALSE,,Prior flag: No comparable sales data found for this postcode
53,"Flat 4, St Davids Court, South Street, Romford",RM1 2AJ,Romford,Flat,Private Commuter Flat,Private commuter flat,,207000,218000,229000,DESK_REV,,0.9,0.97,0.86,-14%,DESK,5032,4867,5418,2.0%,3.0%,2.5%,,60,0.16,FALSE,2,Prior flag: No comparable sales data found for this postcode
54,"29 Brackley Crescent, Basildon",SS13 1RA,Basildon,Flat,Private Commuter Flat,Private commuter flat,,193000,204000,214000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius
55,"45 Fairfax Avenue, Basildon",SS13 1AY,Basildon,House,Standard House,Standard suburban house,,286000,301000,317000,DESK_REV,,0.85,0.95,1.00,-0%,DESK,3747,3635,4008,,,2.5%,,60,0.11,FALSE,1,Prior flag: No comparable sales data found for this postcode
56,"14 Winfields, Pitsea, Basildon",SS13 1HQ,Basildon,House,Standard House,Standard suburban house,,280000,294000,309000,222552,224882,0.85,0.95,0.76,-24%,CHECK,2621,2529,2835,,,2.5%,,60,0.13,FALSE,1,Prior flag: No comparable sales data found for this postcode
57,"17 Canon Court, Basildon",SS13 1EN,Basildon,Flat,Private Commuter Flat,Private commuter flat,,217000,228000,240000,231485,215691,0.9,0.97,0.95,-5%,PASS,3335,3284,3455,2.0%,,1.5%,,75,0.12,FALSE,2,Subject property floor area is missing or zero. Cannot calculate ?/sqm valuation.
58,"29 Northlands Place, Basildon",SS13 1FN,Basildon,House,Standard House,Standard suburban house,,409000,431000,453000,DESK_REV,,0.85,0.95,0.77,-23%,DESK,3229,3199,3299,0%,0%,5.0%,0%,70,0.10,FALSE,0,Prior flag: No comparable sales data found for this postcode
59,"14 Wood Green, Basildon",SS13 1RT,Basildon,House,Standard House,Standard suburban house,,297000,313000,329000,351196,341362,0.85,0.95,1.09,9%,CHECK,4560,4534,4621,,,1.5%,,70,0.04,FALSE,,Subject property floor area is missing or zero. Cannot calculate ?/sqm valuation.
